,serial_no,remarks_other_works,q2_cleaningenddate,address_myenv,remarks_q4,remarks_q3,remarks_q2,remarks_q1,other_works_startdate,q4_cleaningstartdate,google_for_stall,no_of_market_stalls,longitude_hc,q4_cleaningenddate,q1_cleaningstartdate,q1_cleaningenddate,status,other_works_enddate,no_of_food_stalls,q2_cleaningstartdate,description_myenv,q3_cleaningenddate,name,photourl,latitude_hc,google_3d_view,q3_cleaningstartdate,_id
10,78,nil,16/6/2022,"Blk 51, Old Airport Road, Singapore 390051",nil,nil,nil,nil,NA,19/12/2022,nil,54,103.8858414,22/12/2022,21/3/2022,24/3/2022,Existing,NA,168,13/6/2022,"The renowned Blk 51 Old Airport Road is famed for its excellent yet affordable food. Built in 1973, it consists of 168 cooked food stalls on the ground level and 54 lock-up stalls on the second level. The large number of cooked food stalls serve up an amazing array of cuisines, from local hawker fare to international food. Get thrilled by the gastronomic experience offered by the numerous stalls!",22/9/2022,Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg,1.308279991,https://goo.gl/maps/HG2MPcSttQtTvJbg7,19/9/2022,78
11,11,nil,7/6/2022,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",nil,nil,nil,nil,NA,5/12/2022,nil,78,103.8464966,7/12/2022,14/3/2022,15/3/2022,Existing,NA,45,6/6/2022,"Located conveniently in the heart of the bustling Ang Mo Kio Town Centre, the hawker centre is always packed with patrons, especially during the weekends.  Be prepared to queue for your favourite food at popular stalls!",23/8/2022,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,1.372040033,https://goo.gl/maps/McwQgyvQ23M7XE577,22/8/2022,11
12,12,nil,6/6/2022,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",nil,nil,nil,nil,NA,12/12/2022,nil,0,103.8399429,12/12/2022,7/3/2022,9/3/2022,Existing,NA,29,6/6/2022,"Commonly known as Kebun Bahru Food Centre, the food centre was built in 1976 to serve the dining needs of Kebun Baru residents. Comprises 29 cooked food stalls.",12/9/2022,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,1.367266059,https://goo.gl/maps/jZ6eW4rumGqcTbne7,12/9/2022,12
13,13,nil,14/6/2022,"1, Bedok Road, Singapore 469572",nil,nil,nil,nil,NA,12/12/2022,nil,0,103.9554749,14/12/2022,14/3/2022,14/3/2022,Existing,NA,32,13/6/2022,"Located at the corner of Upper East Coast Road, Bedok Food Centre is a favourite haunt for residents in the vicinity and army personnel from nearby barracks. Upgraded in 2005, the fa?ade resembles that of an old Malay ""kampong"" house. Famous for hawker fare such as Hokkien Mee, Desserts, Malay Dishes and more, the hawker centre houses 32 cooked food stalls.",5/9/2022,Bedok Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,1.320353031,https://goo.gl/maps/xGnxBRmZFfuQi79Y9,5/9/2022,13
14,14,nil,6/6/2022,"Blk 216, Bedok North Street 1, Singapore 460216",nil,nil,nil,nil,NA,12/12/2022,nil,114,103.9332962,16/12/2022,7/3/2022,7/3/2022,Existing,NA,82,6/6/2022,"Built in 1979, the hawker centre at Blk 216 Bedok North Street 1 comprises 82 cooked food stalls and 114 market stalls. A stone's throw away from Bedok Town Centre.",5/9/2022,Bedok North Street 1 Blk 216,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,1.327119946,https://goo.gl/maps/SyNWybRigR8fvkQJ7,5/9/2022,14
15,19,nil,20/6/2022,"Blk 16, Bedok South Road, Singapore 460016",nil,nil,nil,nil,NA,12/12/2022,nil,154,103.9355469,16/12/2022,14/3/2022,14/3/2022,Existing,NA,64,20/6/2022,"Located near schools, factories and housing estates in the Bedok South area, this hawker centre is an accessible hotspot for patrons looking for an economical meal.",5/9/2022,Bedok South Road Blk 16,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,1.320559978,https://goo.gl/maps/DHwLVrkDU42o1NU29,5/9/2022,19
16,15,nil,24/6/2022,"Blk 511, Bedok North Street 3, Singapore 460511",nil,nil,nil,nil,NA,26/12/2022,nil,83,103.930687,26/12/2022,7/3/2022,7/3/2022,Existing,NA,42,20/6/2022,"Built in 1979, the hawker centre at Blk 511 Bedok North Street 3 comprises 42 cooked food stalls and 83 market stalls to serve both the dining and marketing needs of residents living in the Kaki Bukit area. Be pampered by the wide selection of hawker fare!  Crowded during dinner and supper hours.",19/9/2022,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg,1.333310008,https://goo.gl/maps/mS7Szg3qu62t8a746,19/9/2022,15
17,16,nil,10/6/2022,"Blk 538, Bedok North Street 3, Singapore 460538",nil,nil,nil,nil,NA,19/12/2022,nil,134,103.9247208,19/12/2022,14/3/2022,14/3/2022,Existing,NA,42,6/6/2022,"Built in 1979, the hawker centre at Blk 538 Bedok North Street 3 comprises 42 cooked food stalls and 134 market stalls. One of the popular hawker centres in the Bedok area.",12/9/2022,Bedok North Street 3 Blk 538,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,1.332100034,https://goo.gl/maps/vs3LEAgmNVTrwdqQ9,12/9/2022,16
18,17,nil,24/5/2022,"Blk 85, Bedok North Street 4, Singapore 460085",nil,nil,nil,nil,NA,14/11/2022,nil,170,103.9388123,18/11/2022,21/2/2022,22/2/2022,Existing,NA,72,23/5/2022,"A popular supper destination for night owls from all over the island.  The hawker centre features a wide array of hawker fare such as Bak Chor Mee, Porridge, BBQ Chicken Wings and Seafood, Fried Oysters etc.  Definitely a favourite haunt for the sleepless!",30/8/2022,Bedok North Street 4 Blk 85 (85 Fengshan Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,1.332059979,https://goo.gl/maps/38cbWGRT7RDYaedNA,29/8/2022,17
19,18,nil,20/6/2022,"Blk 630, Bedok Reservoir Road, Singapore 470630",nil,nil,nil,nil,NA,28/11/2022,nil,75,103.9142075,28/11/2022,7/3/2022,7/3/2022,Existing,NA,36,20/6/2022,"Located within walking distance from the Eunos Community Club, the centre is a convenient place which meets the dining and marketing needs of residents living at Bedok Reservoir Road. Upgraded in 2006, it houses 36 cooked food stalls and 75 market stalls.",16/9/2022,Bedok Reservoir Road Blk 630,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg,1.332980037,https://goo.gl/maps/8cXkGfFzKnNPrfP58,12/9/2022,18
20,25,nil,26/6/2022,"Blk 163, Bukit Merah Central, Singapore 150163",nil,nil,nil,nil,NA,24/12/2022,nil,0,103.8171082,25/12/2022,12/3/2022,13/3/2022,Existing,NA,57,25/6/2022,"Located in the heart of Bukit Merah Central, the food centre consists of 57 cooked food stalls. Extremely well liked by office executives working in the vicinity, the centre bustles with activity during lunch hours. Popular dishes include Ngoh Hiang, Chicken Rice, Teochew Porridge, Fish Soup, Char Kway Teow and Goreng Pisang. Be prepared to be spoilt for choice!",11/9/2022,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg,1.283740044,https://goo.gl/maps/TXsQjSfxXukdwVGD6,10/9/2022,25
21,20,nil,24/5/2022,"Blk 29, Bendemeer Road, Singapore 330029",nil,nil,nil,nil,NA,14/11/2022,nil,105,103.8630905,16/11/2022,21/2/2022,22/2/2022,Existing,NA,88,23/5/2022,"Just a few minutes away from Boon Keng MRT station, the hawker centre is very popular with the nearby residents as well as the workers at Kallang Bahru Industrial Estate because of its location and affordable local cuisines.",16/8/2022,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,1.319280028,https://goo.gl/maps/ESaacUd3n8rVjrUNA,15/8/2022,20
22,21,nil,20/6/2022,"38A, Beo Crescent, Singapore 169982",nil,nil,nil,nil,NA,12/12/2022,nil,62,103.8272476,12/12/2022,7/3/2022,7/3/2022,Existing,NA,32,20/6/2022,"Located near to Tiong Bahru MRT station and PSB Academy, Beo Crescent Market/Food Centre was built in 1965.  The centre serves the mature estate of Havelock and Tiong Bahru area.",21/9/2022,Beo Crescent Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,1.28848803,https://goo.gl/maps/zUwFBP9agEnxbHDL8,19/9/2022,21
23,22,nil,27/6/2022,"166, Jalan Besar, Singapore 208877",nil,nil,nil,nil,NA,19/12/2022,nil,0,103.8568497,20/12/2022,28/3/2022,28/3/2022,Existing,NA,66,27/6/2022,"Located along Jalan Besar Road, Berseh Food Centre houses 66 cooked food stalls. Built in 1975, the food centre presents an added nostalgic flavour with the rows of meticulously restored pre-war shophouses surrounding it.",19/9/2022,Berseh Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,1.307335019,"https://www.google.com/maps/@1.3072454,103.8567191,2a,75y,36.49h,85.01t/data=!3m6!1e1!3m4!1sQVLmSsGPCdUAAARErviBsA!2e0!7i13312!8i6656",19/9/2022,22
24,23,nil,21/6/2022,"Blk 221A/B, Boon Lay Place, Singapore 641221/642221",nil,nil,nil,nil,NA,19/12/2022,nil,94,103.7128525,20/12/2022,4/4/2022,5/4/2022,Existing,NA,72,20/6/2022,"Located beside Boon Lay Shopping Centre, the hawker centre at Blk 221A/B Boon Lay Place provides marketing and dining amenities for residents living in Boon Lay. Built in 1976, the centre comprises 72 cooked food stalls and 94 market stalls.",15/9/2022,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg,1.345280051,https://goo.gl/maps/v8nsUp6AuhCUZDTz7,12/9/2022,23
25,24,nil,21/6/2022,"Blk 665, Buffalo Road, Singapore 210665",nil,nil,nil,nil,NA,12/12/2022,nil,284,103.8506699,13/12/2022,7/3/2022,8/3/2022,Existing,NA,119,20/6/2022,"More commonly known as Tekka Centre, the hawker centre is a popular haunt for marketing and dining needs, especially with the Indian community. An amazing variety of fresh produce is sold at the market.  Built in 1980, it is the second largest hawker centre in Singapore housing more than 400 stalls. An iconic landmark in the Little India area!",14/9/2022,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg,1.306190014,https://goo.gl/maps/jdkxQwk8YsCa2kST7,12/9/2022,24
26,26,nil,30/5/2022,"Blk 120, Bukit Merah Lane, Singapore 150120",nil,nil,nil,nil,NA,27/12/2022,nil,0,103.8045502,27/12/2022,14/3/2022,14/3/2022,Existing,NA,88,30/5/2022,"Opposite the Queenstown Shopping Centre, the hawker centre, also commonly known as Alexandra Food Village, is home to a number of ""yummylicious"" local dishes such as Chicken Rice, Claypot Laksa, Bak Ku Teh etc.",26/9/2022,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg,1.286360025,https://goo.gl/maps/vwuZYeSycjWnXp3W6,26/9/2022,26
27,27,nil,7/6/2022,"Blk 115, Bukit Merah View, Singapore 151115",nil,nil,nil,nil,NA,26/12/2022,nil,167,103.8223724,27/12/2022,7/3/2022,8/3/2022,Existing,NA,84,6/6/2022,"Built in 1973, the hawker centre comprises 84 cooked food stalls and 167 market produce stalls. Located in Henderson area and near to office buildings, schools and residential flats, it is one of the largest hawker centres in Bukit Merah.",13/9/2022,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg,1.285240054,https://goo.gl/maps/LeEpMpTYuPJhe9JV8,12/9/2022,27
28,28,nil,8/6/2022,"2 Bukit Panjang Ring Road, Singapore 679947",nil,nil,nil,nil,NA,12/12/2022,nil,45,103.772432,13/12/2022,7/3/2022,8/3/2022,Existing (new),NA,28,6/6/2022,"Bukit Panjang Hawker Centre & Market is one of the 10 new centres announced by the Government. Among the 10 centres, it is the second to start operations, after the Hougang Ci Yuan Hawker Centre. Bukit Panjang Hawker Centre & Market has 28 cooked food stalls, 14 market slab stalls and 14 lock-up stalls located on both floors of the two-storeyed building.  It also has a sundry store on the second floor.",6/9/2022,Bukit Panjang Hawker Centre and Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,1.378269,https://goo.gl/maps/xjE35jEQ3BSggbki8,5/9/2022,28
29,29,nil,25/5/2022,"51, Upper Bukit Timah Road, Singapore 588215",nil,nil,nil,nil,NA,28/11/2022,nil,95,103.7758026,28/11/2022,21/2/2022,21/2/2022,Existing,NA,84,23/5/2022,"Located along Upper Bukit Timah Road, the two-storey hawker centre was built in 1975 and was upgraded in 2003. A popular hawker centre serving the dining and marketing needs of residents living around Toh Yi Drive. Well-known for the variety of hawker fare, the centre is usually packed with patrons during peak hours. Comprises 84 cooked food stalls and 94 market stalls.",29/8/2022,Bukit Timah Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg,1.339645028,https://goo.gl/maps/yN9dFxLPe41RKb3q7,29/8/2022,29
30,30,nil,18/4/2022,"Blk 41A, Cambridge Road, Singapore 211041",nil,nil,nil,nil,NA,3/10/2022,nil,74,103.8503036,3/10/2022,10/1/2022,10/1/2022,Existing,NA,50,18/4/2022,"More commonly known as Pek Kio Market and Food Centre, the hawker centre was built in 1981 to serve residents staying nearby.  The centre was upgraded in 2003 and currently houses 50 cooked food stalls and 74 market stalls. Many stalls offer delicious yet suprisingly affordable dishes. Get ready for a gastronomic experience!",19/7/2022,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,1.316200018,https://goo.gl/maps/a25iLt3ayWXwcF4h7,18/7/2022,30
31,31,nil,13/4/2022,"Blk 2/3, Changi Village Road, Singapore 500002/500003",nil,nil,nil,nil,NA,10/10/2022,nil,50,103.9881821,14/10/2022,3/1/2022,5/1/2022,Existing,NA,87,11/4/2022,"Located at the eastern end of Singapore near to Changi Point Ferry Terminal and Changi Beach, the popular hawker centre draws food lovers from all over the island. Be wowed by the great variety of  hawker fare available e.g. Nasi Lemak, BBQ Seafood, Fried Wan Ton Noodles etc.  Built in 1975, this centre comprises 87 cooked food stalls and 50 market stalls.",13/7/2022,Changi Village Blk 2 and 3,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg,1.389719963,https://goo.gl/maps/3GGsFAsupmBzCzxr7,11/7/2022,31
32,32,nil,27/6/2022,"20, Kensington Park Road, Singapore 557269",nil,nil,nil,nil,NA,19/12/2022,nil,0,103.8665314,19/12/2022,28/3/2022,30/3/2022,Existing,NA,36,27/6/2022,"Located in Serangoon Gardens, Chomp Chomp Food Centre is well-known for its vibrant dinner and supper scene. Bustling with diners even till late at night, the 36 cooked food stalls in the small hawker centre serve popular local dishes such as Char Kway Teow, BBQ Chicken Wings, Seafood etc. This Centre attracts food lovers from all over the island.",28/9/2022,Chomp Chomp Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg,1.36422801,https://goo.gl/maps/pyWpn9LsQMSBjdAU6,26/9/2022,32
33,33,nil,30/5/2022,"51 Hougang Avenue 9, Singapore 538776",nil,nil,nil,nil,NA,TBC,nil,0,103.8829472,TBC,28/2/2022,28/2/2022,Existing (new),NA,40,30/5/2022,"Built in 2015, Ci Yuan hawker centre is the first to be built since 1985. The hawker centre is located at the 1st storey of Ci Yuan Community Club and comprises of 40 cooked food stalls. All the stalls are selling different food items and serving at least two items priced at $2.80 or below to ensure food price affordability. Ci Yuan hawker centre also has new facilities to accommodate the needs of different users to create a more pleasant dining experience for all.  These include family-friendly facilities such as child-friendly seating, point-of-sale system and self-payment kiosks.  For more information, please refer to: http://ciyuanhawker.com.sg/",TBC,Ci Yuan Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,1.3749377,https://goo.gl/maps/wBG3EnQ8P3DokJNWA,TBC,33
34,34,nil,28/6/2022,"Blk 79/79A, Circuit Road, Singapore 370079/371079",Blk 79 closed from 5 Dec 2022 and Blk 79A closed on 6 Dec 2022.,Blk 79 will be closed from 21 to 22 Sep 2022 and Blk 79A will be closed from 28 to 29 Sep 2022.,Blk 79 closed on 27 Jun 2022 and Blk 79A closed on 28 Jun 2022.,Blk 79 closed on 21 Mar 2022 and Blk 79A closed on 22 Mar 2022.,NA,5/12/2022,nil,0,103.8851166,6/12/2022,21/3/2022,22/3/2022,Existing,NA,106,27/6/2022,"Built in 1971, the hawker centre is sited beside the Pelton Canal in Paya Lebar. One of the three hawker centres at Ciruit Road, the centre comprises 106 cooked food stalls. After upgrading in 2010, a new outdoor refreshment area has been added to provide a unique alfresco dining experience to patrons.",29/9/2022,Circuit Road Blk 79/79A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg,1.326660037,https://goo.gl/maps/Zvz8HuSSj9LMW1GU6,21/9/2022,34
35,35,nil,11/4/2022,"Blk 80, Circuit Road, Singapore 370080",nil,nil,nil,nil,NA,17/10/2022,nil,43,103.8871536,17/10/2022,10/1/2022,10/1/2022,Existing,NA,16,11/4/2022,"Built in 1967, the hawker centre at Blk 80 Circuit Road comprises 16 cooked food stalls and 43 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",20/7/2022,Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg,1.327900052,https://goo.gl/maps/vx66iiVq284rAG9n9,18/7/2022,35
36,36,nil,20/6/2022,"Blk 89, Circuit Road, Singapore 370089",nil,nil,nil,nil,NA,19/12/2022,nil,92,103.8855209,19/12/2022,28/3/2022,28/3/2022,Existing,NA,41,20/6/2022,"Built in 1967, the hawker centre at Blk 89 Circuit Road comprises 40 cooked food stalls and 93 market stalls. One of the three hawker centres serving the residents living in the vicinity of Circuit Road.",6/9/2022,Circuit Road Blk 89,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg,1.323639989,https://goo.gl/maps/UNaidnv7oUtyPVcB8,5/9/2022,36
37,79,nil,6/4/2022,"1 Tampines Walk, Singapore 528523",nil,nil,nil,nil,NA,6/12/2022,nil,0,103.940231,7/12/2022,4/1/2022,5/1/2022,Existing (new),NA,42,5/4/2022,"Built in 2016, the hawker centre at Our Tampines Hub (OTH) consists of 42 cooked food stalls and allows patrons of all ages to enjoy affordable food in a pleasant dining environment.  Located at the 1st storey of OTH, the naturally ventilated hawker centre is designed to be family-friendly with features such as child-friendly toilet facilities and family-friendly seating. It is also designed with built-in tray return facilities at accessible locations to allow patrons to return their trays with ease.  Being the first 24-hour hawker centre in Tampines, it provides residents with all-day affordable dining options.",10/8/2022,Our Tampines Hub,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,1.352983,https://goo.gl/maps/VkRCyuv3EmHHRXXY7,9/8/2022,79
38,37,nil,7/6/2022,"Blk 353, Clementi Ave 2, Singapore 120353",nil,nil,nil,nil,NA,19/12/2022,nil,59,103.7707748,21/12/2022,7/3/2022,8/3/2022,Existing,NA,18,6/6/2022,"Built in 1978, the hawker centre has evolved into a focal point for residents to dine and engage in social bonding. Blk 353 Clementi Ave 2 comprises 18 cooked food stalls and 96 market stalls.",6/9/2022,Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg,1.314337969,https://goo.gl/maps/d4rjgxigfQwK3nTS9,5/9/2022,37
